conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C0,0,Professions militaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C01,01,Officiers des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C011,011,Officiers des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C0110,0110,Officiers des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C02,02,Sous-officiers des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C021,021,Sous-officiers des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C0210,0210,Sous-officiers des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C03,03,Autres membres des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C031,031,Autres membres des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C0310,0310,Autres membres des forces armées,,
ISCOGroup,http://data.europa.eu/esco/isco/C1,1,"Directeurs, cadres de direction et gérants",,
ISCOGroup,http://data.europa.eu/esco/isco/C11,11,"Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs",,
ISCOGroup,http://data.europa.eu/esco/isco/C111,111,Membres des corps législatifs et cadres supérieurs de l’administration publique,,
ISCOGroup,http://data.europa.eu/esco/isco/C1111,1111,Membres des corps législatifs,,
ISCOGroup,http://data.europa.eu/esco/isco/C1112,1112,Cadres supérieurs de l’administration publique,,
ISCOGroup,http://data.europa.eu/esco/isco/C1113,1113,Chefs traditionnels et chefs de village,,
ISCOGroup,http://data.europa.eu/esco/isco/C1114,1114,Dirigeants et cadres supérieurs d’organisations spécialisées,,
ISCOGroup,http://data.europa.eu/esco/isco/C112,112,Directeurs généraux d’entreprise,,
ISCOGroup,http://data.europa.eu/esco/isco/C1120,1120,Directeurs généraux d’entreprise,,
ISCOGroup,http://data.europa.eu/esco/isco/C12,12,Directeurs de services administratifs et commerciaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C121,121,Directeurs de services administratifs,,
ISCOGroup,http://data.europa.eu/esco/isco/C1211,1211,"Directeurs et cadres de direction, services financiers",,
ISCOGroup,http://data.europa.eu/esco/isco/C1212,1212,"Directeurs et cadres de direction, ressources humaines",,
ISCOGroup,http://data.europa.eu/esco/isco/C1213,1213,"Directeurs et cadres de direction, stratégie et planifications",,
ISCOGroup,http://data.europa.eu/esco/isco/C1219,1219,Directeurs des services administratifs non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C122,122,"Directeurs et cadres de direction, ventes, commercialisation et développement",,
ISCOGroup,http://data.europa.eu/esco/isco/C1221,1221,"Directeurs et cadres de direction, ventes et commercialisation",,
ISCOGroup,http://data.europa.eu/esco/isco/C1222,1222,"Directeurs et cadres de direction, publicité et relations publiques",,
ISCOGroup,http://data.europa.eu/esco/isco/C1223,1223,"Directeurs et cadres de direction, recherche-développement",,
ISCOGroup,http://data.europa.eu/esco/isco/C13,13,"Directeurs et cadres de direction, production et services spécialisés",,
ISCOGroup,http://data.europa.eu/esco/isco/C131,131,"Directeurs et cadres de direction, agriculture, sylviculture et pêche",,
ISCOGroup,http://data.europa.eu/esco/isco/C1311,1311,"Directeurs et cadres de direction, agriculture et sylviculture",,
ISCOGroup,http://data.europa.eu/esco/isco/C1312,1312,"Directeurs et cadres de direction, aquaculture et pêche",,
ISCOGroup,http://data.europa.eu/esco/isco/C132,132,"Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution",,
ISCOGroup,http://data.europa.eu/esco/isco/C1321,1321,"Directeurs et cadres de direction, industrie manufacturière",,
ISCOGroup,http://data.europa.eu/esco/isco/C1322,1322,"Directeurs et cadres de direction, mines",,
ISCOGroup,http://data.europa.eu/esco/isco/C1323,1323,"Directeurs et cadres de direction, bâtiment",,
ISCOGroup,http://data.europa.eu/esco/isco/C1324,1324,"Directeurs et cadres de direction, approvisionnement, distribution et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C133,133,"Directeurs et cadres de direction, technologies de l’information et des communications",,
ISCOGroup,http://data.europa.eu/esco/isco/C1330,1330,"Directeurs et cadres de direction, technologies de l’information et des communications",,
ISCOGroup,http://data.europa.eu/esco/isco/C134,134,"Cadres de direction, services spécialisés",,
ISCOGroup,http://data.europa.eu/esco/isco/C1341,1341,"Cadres de direction, garde d’enfants",,
ISCOGroup,http://data.europa.eu/esco/isco/C1342,1342,"Cadres de direction, services de santé",,
ISCOGroup,http://data.europa.eu/esco/isco/C1343,1343,"Cadres de direction, services aux personnes âgées",,
ISCOGroup,http://data.europa.eu/esco/isco/C1344,1344,"Cadres de direction, services sociaux",,
ISCOGroup,http://data.europa.eu/esco/isco/C1345,1345,"Cadres de direction, éducation",,
ISCOGroup,http://data.europa.eu/esco/isco/C1346,1346,"Directeurs et cadres de direction, succursales de banque, services financiers et assurances",,
ISCOGroup,http://data.europa.eu/esco/isco/C1349,1349,"Autres cadres de direction, services spécialisés non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C14,14,"Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services",,
ISCOGroup,http://data.europa.eu/esco/isco/C141,141,"Directeurs et gérants, hôtellerie et restauration",,
ISCOGroup,http://data.europa.eu/esco/isco/C1411,1411,"Directeurs et gérants, hôtellerie",,
ISCOGroup,http://data.europa.eu/esco/isco/C1412,1412,"Directeurs et gérants, restauration",,
ISCOGroup,http://data.europa.eu/esco/isco/C142,142,"Directeurs et gérants, commerce de détail et de gros",,
ISCOGroup,http://data.europa.eu/esco/isco/C1420,1420,"Directeurs et gérants, commerce de détail et de gros",,
ISCOGroup,http://data.europa.eu/esco/isco/C143,143,Autres directeurs et gérants,,
ISCOGroup,http://data.europa.eu/esco/isco/C1431,1431,"Directeurs et gérants, centres sportifs, centres de loisirs et centres culturels",,
ISCOGroup,http://data.europa.eu/esco/isco/C1439,1439,"Directeurs et gérants, services non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C2,2,Professions intellectuelles et scientifiques,,
ISCOGroup,http://data.europa.eu/esco/isco/C21,21,Spécialistes des sciences techniques,,
ISCOGroup,http://data.europa.eu/esco/isco/C211,211,"Physiciens, chimistes et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2111,2111,Physiciens et astronomes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2112,2112,Météorologues,,
ISCOGroup,http://data.europa.eu/esco/isco/C2113,2113,Chimistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2114,2114,Géologues et géophysiciens,,
ISCOGroup,http://data.europa.eu/esco/isco/C212,212,"Mathématiciens, actuaires et statisticiens",,
ISCOGroup,http://data.europa.eu/esco/isco/C2120,2120,"Mathématiciens, actuaires et statisticiens",,
ISCOGroup,http://data.europa.eu/esco/isco/C213,213,Spécialistes des sciences de la vie,,
ISCOGroup,http://data.europa.eu/esco/isco/C2131,2131,"Biologistes, botanistes, zoologistes et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2132,2132,Agronomes et assimilés,,
ISCOGroup,http://data.europa.eu/esco/isco/C2133,2133,Spécialistes de la protection de l’environnement,,
ISCOGroup,http://data.europa.eu/esco/isco/C214,214,"Spécialistes, sciences techniques (sauf électrotechniques)",,
ISCOGroup,http://data.europa.eu/esco/isco/C2141,2141,"Spécialistes, sciences techniques de la production et de l’industrie",,
ISCOGroup,http://data.europa.eu/esco/isco/C2142,2142,Ingénieurs civils,,
ISCOGroup,http://data.europa.eu/esco/isco/C2143,2143,Ingénieurs écologistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2144,2144,Ingénieurs mécaniciens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2145,2145,Ingénieurs chimistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2146,2146,"Ingénieurs des mines, ingénieurs métallurgistes et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2149,2149,"Spécialistes, sciences techniques non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C215,215,Ingénieurs de l’électrotechnique,,
ISCOGroup,http://data.europa.eu/esco/isco/C2151,2151,Ingénieurs électriciens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2152,2152,Ingénieurs électroniciens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2153,2153,Spécialistes des télécommunications,,
ISCOGroup,http://data.europa.eu/esco/isco/C216,216,"Architectes, urbanistes, géomètres et concepteurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C2161,2161,"Architectes, bâtiment",,
ISCOGroup,http://data.europa.eu/esco/isco/C2162,2162,Architectes paysagistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2163,2163,Concepteurs modélistes de produits et de vêtements,,
ISCOGroup,http://data.europa.eu/esco/isco/C2164,2164,Urbanistes et ingénieurs de la circulation routière,,
ISCOGroup,http://data.europa.eu/esco/isco/C2165,2165,Cartographes et géomètres,,
ISCOGroup,http://data.europa.eu/esco/isco/C2166,2166,"Concepteurs graphiques, multimédia – graphistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C22,22,Spécialistes de la santé,,
ISCOGroup,http://data.europa.eu/esco/isco/C221,221,Médecins,,
ISCOGroup,http://data.europa.eu/esco/isco/C2211,2211,Médecins généralistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2212,2212,Médecins spécialistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C222,222,Cadres infirmiers et sages-femmes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2221,2221,Cadres infirmiers,,
ISCOGroup,http://data.europa.eu/esco/isco/C2222,2222,Sages-femmes,,
ISCOGroup,http://data.europa.eu/esco/isco/C223,223,Spécialistes des médecines traditionnelles et des médecines complémentaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C2230,2230,Spécialistes des médecines traditionnelles et des médecines complémentaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C224,224,Praticiens paramédicaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C2240,2240,Praticiens paramédicaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C225,225,Vétérinaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C2250,2250,Vétérinaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C226,226,Autres spécialistes des professions de la santé,,
ISCOGroup,http://data.europa.eu/esco/isco/C2261,2261,Dentistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2262,2262,Pharmaciens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2263,2263,"Spécialistes de la salubrité de l’environnement, de l’hygiène et de la santé au travail",,
ISCOGroup,http://data.europa.eu/esco/isco/C2264,2264,Physiothérapeutes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2265,2265,Diététiciens et spécialistes de la nutrition,,
ISCOGroup,http://data.europa.eu/esco/isco/C2266,2266,Audiologistes et orthophonistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2267,2267,Optométristes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2269,2269,Spécialistes de la santé non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C23,23,Spécialistes de l’enseignement,,
ISCOGroup,http://data.europa.eu/esco/isco/C231,231,Professeurs d’université et d’établissements d’enseignement supérieur,,
ISCOGroup,http://data.europa.eu/esco/isco/C2310,2310,Professeurs d’université et d’établissements d’enseignement supérieur,,
ISCOGroup,http://data.europa.eu/esco/isco/C232,232,"Professeurs, enseignement technique et professionnel",,
ISCOGroup,http://data.europa.eu/esco/isco/C2320,2320,"Professeurs, enseignement technique et professionnel",,
ISCOGroup,http://data.europa.eu/esco/isco/C233,233,"Professeurs, enseignement secondaire",,
ISCOGroup,http://data.europa.eu/esco/isco/C2330,2330,"Professeurs, enseignement secondaire",,
ISCOGroup,http://data.europa.eu/esco/isco/C234,234,"Instituteurs, enseignement primaire et éducateurs de la petite enfance",,
ISCOGroup,http://data.europa.eu/esco/isco/C2341,2341,"Instituteurs, enseignement primaire",,
ISCOGroup,http://data.europa.eu/esco/isco/C2342,2342,Éducateurs de la petite enfance,,
ISCOGroup,http://data.europa.eu/esco/isco/C235,235,Autres spécialistes de l’enseignement,,
ISCOGroup,http://data.europa.eu/esco/isco/C2351,2351,Spécialistes des méthodes d’enseignement,,
ISCOGroup,http://data.europa.eu/esco/isco/C2352,2352,"Enseignants, éducation spécialisée",,
ISCOGroup,http://data.europa.eu/esco/isco/C2353,2353,Autres professeurs de langues,,
ISCOGroup,http://data.europa.eu/esco/isco/C2354,2354,Autres professeurs de musique,,
ISCOGroup,http://data.europa.eu/esco/isco/C2355,2355,Autres professeurs de disciplines artistiques,,
ISCOGroup,http://data.europa.eu/esco/isco/C2356,2356,Formateurs en technologies de l’information,,
ISCOGroup,http://data.europa.eu/esco/isco/C2359,2359,"Spécialistes de l’enseignement, non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C24,24,Spécialistes en administration d’entreprises,,
ISCOGroup,http://data.europa.eu/esco/isco/C241,241,Spécialistes en finances,,
ISCOGroup,http://data.europa.eu/esco/isco/C2411,2411,Cadres comptables,,
ISCOGroup,http://data.europa.eu/esco/isco/C2412,2412,Conseillers en finances et investissements,,
ISCOGroup,http://data.europa.eu/esco/isco/C2413,2413,Analystes financiers,,
ISCOGroup,http://data.europa.eu/esco/isco/C242,242,Spécialistes des fonctions administratives,,
ISCOGroup,http://data.europa.eu/esco/isco/C2421,2421,"Analystes, gestion et organisation",,
ISCOGroup,http://data.europa.eu/esco/isco/C2422,2422,"Spécialistes, administration et politiques",,
ISCOGroup,http://data.europa.eu/esco/isco/C2423,2423,"Spécialistes, ressources humaines et évolution de carrière",,
ISCOGroup,http://data.europa.eu/esco/isco/C2424,2424,Spécialistes de la formation du personnel,,
ISCOGroup,http://data.europa.eu/esco/isco/C243,243,"Spécialistes des ventes, de la commercialisation et des relations publiques",,
ISCOGroup,http://data.europa.eu/esco/isco/C2431,2431,Spécialistes de la publicité et de la commercialisation,,
ISCOGroup,http://data.europa.eu/esco/isco/C2432,2432,Spécialistes des relations publiques,,
ISCOGroup,http://data.europa.eu/esco/isco/C2433,2433,"Spécialistes des ventes, secteurs médical et technique (à l’exception des TIC)",,
ISCOGroup,http://data.europa.eu/esco/isco/C2434,2434,"Spécialistes des ventes, des technologies de l’information et des communications",,
ISCOGroup,http://data.europa.eu/esco/isco/C25,25,Spécialistes des technologies de l’information et des communications,,
ISCOGroup,http://data.europa.eu/esco/isco/C251,251,Concepteurs et analystes de logiciels et de multimédia,,
ISCOGroup,http://data.europa.eu/esco/isco/C2511,2511,Analystes de systèmes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2512,2512,Concepteurs de logiciels,,
ISCOGroup,http://data.europa.eu/esco/isco/C2513,2513,Concepteurs de sites internet et de multimédia,,
ISCOGroup,http://data.europa.eu/esco/isco/C2514,2514,Programmeurs d’applications,,
ISCOGroup,http://data.europa.eu/esco/isco/C2519,2519,"Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C252,252,Spécialistes des bases de données et des réseaux d’ordinateurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C2521,2521,Spécialistes des bases de données,,
ISCOGroup,http://data.europa.eu/esco/isco/C2522,2522,Administrateurs de systèmes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2523,2523,Spécialistes des réseaux d’ordinateurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C2529,2529,Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C26,26,"Spécialistes de la justice, des sciences sociales et de la culture",,
ISCOGroup,http://data.europa.eu/esco/isco/C261,261,Juristes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2611,2611,Avocats,,
ISCOGroup,http://data.europa.eu/esco/isco/C2612,2612,Magistrats,,
ISCOGroup,http://data.europa.eu/esco/isco/C2619,2619,Juristes non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C262,262,"Archivistes, bibliothécaires, documentalistes et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2621,2621,Archivistes paléographes et conservateurs de musée,,
ISCOGroup,http://data.europa.eu/esco/isco/C2622,2622,"Bibliothécaires, documentalistes et professions assimilées",,
ISCOGroup,http://data.europa.eu/esco/isco/C263,263,Spécialistes des sciences sociales et du clergé,,
ISCOGroup,http://data.europa.eu/esco/isco/C2631,2631,Économistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2632,2632,"Sociologues, anthropologues et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2633,2633,"Philosophes, historiens et spécialistes des sciences politiques",,
ISCOGroup,http://data.europa.eu/esco/isco/C2634,2634,Psychologues,,
ISCOGroup,http://data.europa.eu/esco/isco/C2635,2635,Spécialistes du travail social,,
ISCOGroup,http://data.europa.eu/esco/isco/C2636,2636,Ministres des cultes,,
ISCOGroup,http://data.europa.eu/esco/isco/C264,264,"Auteurs, journalistes et linguistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C2641,2641,Auteurs et autres écrivains,,
ISCOGroup,http://data.europa.eu/esco/isco/C2642,2642,Journalistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2643,2643,"Traducteurs, interprètes et linguistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C265,265,Artistes créateurs et exécutants,,
ISCOGroup,http://data.europa.eu/esco/isco/C2651,2651,Artistes plasticiens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2652,2652,"Compositeurs, musiciens et chanteurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C2653,2653,Danseurs et chorégraphes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2654,2654,"Metteurs en scène de cinéma, de théâtre et d’autres spectacles",,
ISCOGroup,http://data.europa.eu/esco/isco/C2655,2655,Acteurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C2656,2656,"Annonceurs-présentateurs de radio, de télévision et autres médias",,
ISCOGroup,http://data.europa.eu/esco/isco/C2659,2659,Artistes créateurs et exécutants non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C3,3,Professions intermédiaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C31,31,Professions intermédiaires des sciences et techniques,,
ISCOGroup,http://data.europa.eu/esco/isco/C311,311,Techniciens des sciences physiques et techniques,,
ISCOGroup,http://data.europa.eu/esco/isco/C3111,3111,Techniciens des sciences chimiques et physiques,,
ISCOGroup,http://data.europa.eu/esco/isco/C3112,3112,Techniciens du génie civil,,
ISCOGroup,http://data.europa.eu/esco/isco/C3113,3113,Techniciens en électricité,,
ISCOGroup,http://data.europa.eu/esco/isco/C3114,3114,Techniciens en électronique,,
ISCOGroup,http://data.europa.eu/esco/isco/C3115,3115,Techniciens en construction mécanique,,
ISCOGroup,http://data.europa.eu/esco/isco/C3116,3116,Techniciens en chimie industrielle,,
ISCOGroup,http://data.europa.eu/esco/isco/C3117,3117,"Techniciens des mines, techniciens métallurgistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C3118,3118,Dessinateurs industriels,,
ISCOGroup,http://data.europa.eu/esco/isco/C3119,3119,Techniciens des sciences physiques et techniques non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C312,312,"Superviseurs, mines, industries manufacturières et bâtiment",,
ISCOGroup,http://data.europa.eu/esco/isco/C3121,3121,"Superviseurs, mines",,
ISCOGroup,http://data.europa.eu/esco/isco/C3122,3122,"Superviseurs, industries manufacturières",,
ISCOGroup,http://data.europa.eu/esco/isco/C3123,3123,"Superviseurs, bâtiment",,
ISCOGroup,http://data.europa.eu/esco/isco/C313,313,"Techniciens, contrôle de processus industriels",,
ISCOGroup,http://data.europa.eu/esco/isco/C3131,3131,Conducteurs d’installations de production d’énergie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3132,3132,Conducteurs d’incinérateurs et d’installations de traitement de l’eau,,
ISCOGroup,http://data.europa.eu/esco/isco/C3133,3133,Conducteurs d’installations de traitement chimique,,
ISCOGroup,http://data.europa.eu/esco/isco/C3134,3134,Conducteurs d’installations de raffinage de pétrole et de gaz naturel,,
ISCOGroup,http://data.europa.eu/esco/isco/C3135,3135,"Contrôleurs des processus industriels, métallurgie",,
ISCOGroup,http://data.europa.eu/esco/isco/C3139,3139,"Techniciens, contrôle de processus industriels non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C314,314,Techniciens et travailleurs assimilés des sciences de la vie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3141,3141,Techniciens des sciences de la vie (à l’exception de la médecine),,
ISCOGroup,http://data.europa.eu/esco/isco/C3142,3142,"Techniciens, agriculture et élevage",,
